Código,Descripción,LISTA
,Antenas,
HAF4017A,Antena 3DB colinear 762-870MHZ, $ 79.199 
NAF5037,Antenna whip 800, $ 49.850 
PMAD4049,Antena helicoidal VHF 146-174 Mhz, $ 24.438 
,Baterías,
HNN9008,Batería NiMh alta Capacidad (Estandar con radio), $ 72.161 
PMNN4448,Batería Impres Li-Ion de 2800T, $ 240.515 
,Cargadores,
NNTN8273,Cargador individual 240 volt enchufe europeo, $ 86.892 
AAHTN3001,Cargador individual rápido 230v 60 min., $ 78.203 
PMLN5397,Cargador individual (smps) de 230v, $ 72.342 
WPLN4139,Cargador Unitario DEP-450 (220 Volt), $ 70.147 
PMPN4289,"Impres Cargador múltiple 240 volt (ex-WPLN4213, ex-WPLN4220)", $ 893.473 
PMPN4577,Impres Cargador individual 240v, $ 95.943 
PMLN6384,Cargador Multiple RVA50 220V, $ 260.677 
,Cable de Programación,
PMKN4012,Cable de programación para portátil, $ 191.661 
PMKN4115,Cable de programación USB, $ 34.847 
PMKN4013,"Cable de programación, prueba y alineación", $ 168.467 
PMKN4010,CPS Cable, $ 112.009 
PMKN4117,"Cable de programación, prueba y alineación", $ 136.900 
30009477001,Cable programación para SLR5100 USB A-a-USB B, $ 17.424 
PMKN4147,Cable Programacion Frontal USB MMP, $ 56.638 
,Micrófonos,
PMMN4021,Micrófono parlante remoto con conector para accesorio de audio, $ 68.722 
,Montajes,
0180351A98,Montaje perforado con conector Mini UHF, $ 16.813 
3080384M45,Montaje Magnético Cable 12 Pies (RG58A/U) Mini UHF Crimp, $ 65.622 