Producto,Nombre Modelo Especial,Caracteristicas ,Recomendados,Descripción,Modelo,Canales,Frecuencia,,Watts,$ Lista
Motorola R2,,"Modo Dual Digital,Calidad de voz mejorada,Capacidad de interrupción de transmisión,Vida útil batería 14.5 hrs/18.5 hrs,Capacidad de repetidor: DMR TDMA,Estándares IP54,Administración de radio rápida y eficaz,Capacidad interrupción de transmisión,Prueba Vida Acelerada ALT™ Motorola","PMNN4600 Batería delgada 2100 mAh,PMAD4147 Antena Whip VHF 22 cm,PMAD4117 Antena Helical VHF 15 cm,PMKN4128 Cable de programación,PMMN4013 Micrófono parlante remoto,PMMN4148 RM110 Micrófono parlante remoto","Incluye: Incluye Batería  (PMNN4598), cargador rápido  (WPLN4137), antena standard VHF -UHF, belt clip (PMLN7008), guía de usuario. ",,,,,,
Motorola R2,Modelo R2 Análogo,,,,LAH11JDC9JC2AN,64,136-174 MHz,,5 W, $  434.033 
Motorola R2,Modelo R2 Análogo,,,,LAH11XDC9JC2AN,64,450-527 MHZ,,4 W, $  434.033 
Motorola R2,Modelo R2 Digital,,,,LAH11JDC9JA2AN,64,136-174 MHz,,5 W, $  450.871 
Motorola R2,Modelo R2 Digital,,,,LAH11XDC9JA2AN,64,450-527 MHZ,,4 W, $  450.871 
SL500,,"Ultradelgado, grosor de 2,3 cm,Potencia del DMR TDMA,Estándares IP54,Interrupción de transmisión,Conectividad microUSB,Interfaz LED tricolor,Pantalla ActiveView LED(SL500) Y OLED (SL500e),Analógico/Digital,Capacidad de Transmit Interrupt,Prueba Vida Acelerada ALT™ Motorola,Peso aprox. 190 g",,,,,,,,
SL500,Modelo SL 500,,,,LAH88JCP9JA2AN,99,136-174 MHz,,3 W, $  460.620 
SL500,Modelo SL 500,,,,LAH88QCP9JA2AN,99,403-470 MHz,,2 W, $  460.620 
SL500e,,"* Bluetooth 4.0 * Wi-FI integrado para actualizaciones, Ultradelgado, grosor de 2,3 cm,Potencia del DMR TDMA,Estándares IP54,Interrupción de transmisión,Conectividad microUSB,Interfaz LED tricolor,Pantalla ActiveView LED(SL500) Y OLED (SL500e),Analógico/Digital,Capacidad de Transmit Interrupt,Prueba Vida Acelerada ALT™ Motorola,Peso aprox. 190 g",,,,,,,,
SL500e,Modelo SL 500e,,,,LAH88JCD9SA2AN,99,136-174 MHz,,3 W, $  564.011 
SL500e,Modelo SL 500e,,,,LAH88YCD9SA2AN,99,400-480 MHz,,2 W, $  564.011 
DEM300,,"Pantalla numérica DEM300,Modo directo de capacidad dual,Interrupción de transmisión,Carga eficiente y fácil programación,Password protection,Estándares IP54,Anuncio de voz,Dimensiones 44 x 169 x 134 mm,Peso 1.3 Kg,Tecnología digital,Prueba Vida Acelerada ALT™ Motorola","GMMN4065 Micrófono de vicera,RLN4836 Interruptor de pie para emergencias,RLN4857 PTT con pulsador,PMMN4089 Micrófono compacto con teclado",,,,,,,
DEM300,Modelo DEM 300,,,,LAM01JNC9JA1AN,16,136-174 MHz,,25 W, $  531.442 
DEM300,Modelo DEM 300,,,,LAM01JQC9JA1AN,16,136-174 MHz,,45 W, $  598.008 
DEM400,,"Pantalla alfanumérica DEM400,Modo directo de capacidad dual,Interrupción de transmisión,Carga eficiente y fácil programación,Password protection,Estándares IP54,Anuncio de voz,Dimensiones 44 x 169 x 134 mm,Peso 1.3 Kg,Tecnología digital,Prueba Vida Acelerada ALT™ Motorola","PMNN4600 Batería delgada 2100 mAh,PMAD4147 Antena Whip VHF 22 cm,PMAD4117 Antena Helical VHF 15 cm,PMKN4128 Cable de programación,PMMN4013 Micrófono parlante remoto,PMMN4148 RM110 Micrófono parlante remoto",,,,,,,
DEM400,Modelo DEM 400,,,,LAM01JNH9JA1AN,64,136-174 MHz,,25 W, $  624.920 
DEM400,Modelo DEM 400,,,,LAM01JQH9JA1AN,64,136-174 MHz,,45 W, $  661.746 